"","X","taxon","EOO.Area.km2","EOO.Status","AOO","AOO.adjusted.Minimum","AOO.Status"
"120",1,"Elymus macgregorii",3313186.90713023,"Least Concern (LC)",6100,5600,"Least Concern (LC)"
"121",1,"Elymus macrourus",6242408.66527477,"Least Concern (LC)",30800,29500,"Least Concern (LC)"
"122",1,"Elymus multisetus",1228291.66721911,"Least Concern (LC)",53000,51500,"Least Concern (LC)"
"123",1,"Elymus riparius",3503170.17234103,"Least Concern (LC)",32900,32000,"Least Concern (LC)"
"124",1,"Elymus scribneri",2141830.99857766,"Least Concern (LC)",55600,53800,"Least Concern (LC)"
"125",1,"Elymus sierrae",186723.956884503,"Least Concern (LC)",4000,3700,"Possible Near Threatened (NT)"
"126",1,"Elymus stebbinsii subsp. septentrionalis",137526.893230348,"Least Concern (LC)",2100,1800,"Possible Near Threatened (NT)"
"127",1,"Elymus stebbinsii subsp. stebbinsii",60188.4129849216,"Least Concern (LC)",800,800,"Vulnerable (VU)"
"128",1,"Elymus stebbinsii",200615.611860019,"Least Concern (LC)",8000,7500,"Least Concern (LC)"
"129",1,"Elymus trachycaulus subsp. subsecundus",11200941.7109911,"Least Concern (LC)",17200,16800,"Least Concern (LC)"
"130",1,"Elymus trachycaulus subsp. trachycaulus",16847109.775906,"Least Concern (LC)",54500,53300,"Least Concern (LC)"
"131",1,"Elymus trachycaulus",19713328.818283,"Least Concern (LC)",160400,158900,"Least Concern (LC)"
"132",1,"Elymus villosus",3270646.00986629,"Least Concern (LC)",34800,33500,"Least Concern (LC)"
"133",1,"Elymus violaceus",13420896.5250461,"Least Concern (LC)",85700,84400,"Least Concern (LC)"
"134",1,"Elymus virginicus",10992493.8734932,"Least Concern (LC)",61800,60800,"Least Concern (LC)"
"135",1,"Elymus wawawaiensis",62719.9174481181,"Least Concern (LC)",1100,1100,"Vulnerable (VU)"
"136",1,"Elymus wiegandii",988718.762511865,"Least Concern (LC)",2400,2300,"Possible Near Threatened (NT)"
"137",1,"Elymus x pseudorepens",452048.211720764,"Least Concern (LC)",1100,1000,"Vulnerable (VU)"
"138",1,"Leymus ambiguus",43385.5353482516,"Possible Near Threatened (NT)",700,700,"Vulnerable (VU)"
"139",1,"Leymus californicus",2442.72146535384,"Endangered (EN)",800,800,"Vulnerable (VU)"
"140",1,"Leymus cinereus",1967184.25984374,"Least Concern (LC)",59800,57900,"Least Concern (LC)"
"141",1,"Leymus condensatus",96898.0149506715,"Least Concern (LC)",9300,8500,"Least Concern (LC)"
"142",1,"Leymus flavescens",87401.1045882293,"Least Concern (LC)",900,800,"Vulnerable (VU)"
"143",1,"Leymus innovatus",5501864.80130502,"Least Concern (LC)",3000,2900,"Possible Near Threatened (NT)"
"144",1,"Leymus mollis",15655778.8467648,"Least Concern (LC)",3100,2800,"Possible Near Threatened (NT)"
"145",1,"Leymus pacificus",1259.24474849281,"Endangered (EN)",400,400,"Endangered (EN)"
"146",1,"Leymus salina subsp. salina",127456.609458668,"Least Concern (LC)",4600,4500,"Least Concern (LC)"
"147",1,"Leymus salina subsp. salmonis",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
"148",1,"Leymus simplex",5858.85208305806,"Vulnerable (VU)",400,400,"Endangered (EN)"
"149",1,"Leymus triticoides",1955388.44725974,"Least Concern (LC)",26600,25700,"Least Concern (LC)"
"150",1,"Leymus x multiflorus",19133.2824841846,"Vulnerable (VU)",400,400,"Endangered (EN)"
"151",1,"Leymus x vancouverensis",87401.1045882293,"Least Concern (LC)",900,800,"Vulnerable (VU)"
"152",1,"Pseudoroegneria spicata",6013444.03088473,"Least Concern (LC)",152300,148900,"Least Concern (LC)"
"153",1,"Ficus aurea",83591.2839634667,"Least Concern (LC)",2600,2100,"Possible Near Threatened (NT)"
"154",1,"Ficus citrifolia",353625.141270907,"Least Concern (LC)",2700,2300,"Possible Near Threatened (NT)"
"155",1,"Fragaria cascadensis",17765.9910032285,"Vulnerable (VU)",3300,3100,"Possible Near Threatened (NT)"
"156",1,"Fragaria chiloensis subsp. lucida",218413.480924096,"Least Concern (LC)",1200,1200,"Vulnerable (VU)"
"157",1,"Fragaria chiloensis subsp. pacifica",4130969.32972525,"Least Concern (LC)",4000,3900,"Possible Near Threatened (NT)"
"158",1,"Fragaria chiloensis subsp. sandwicensis",733.636767309161,"Endangered (EN)",300,300,"Endangered (EN)"
"159",1,"Fragaria chiloensis",14875299.232652,"Least Concern (LC)",22600,21900,"Least Concern (LC)"
"160",1,"Fragaria vesca f. bracteata",3461712.78928823,"Least Concern (LC)",10900,10400,"Least Concern (LC)"
"161",1,"Fragaria vesca f. helleri",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
"162",1,"Fragaria vesca subsp. americana",4374171.3102594,"Least Concern (LC)",6000,5900,"Least Concern (LC)"
"163",1,"Fragaria vesca subsp. bracteata",2728844.61381939,"Least Concern (LC)",36600,35800,"Least Concern (LC)"
"164",1,"Fragaria vesca subsp. californica",1034366.08692247,"Least Concern (LC)",2800,2700,"Possible Near Threatened (NT)"
"165",1,"Fragaria vesca",11121995.0242463,"Least Concern (LC)",124700,121400,"Least Concern (LC)"
"166",1,"Fragaria virginiana subsp. glauca",10379706.904397,"Least Concern (LC)",33200,31400,"Least Concern (LC)"
"167",1,"Fragaria virginiana subsp. grayana",710885.050726502,"Least Concern (LC)",7400,7200,"Least Concern (LC)"
"168",1,"Fragaria virginiana subsp. platypetala",2119164.3113384,"Least Concern (LC)",32000,31500,"Least Concern (LC)"
"169",1,"Fragaria virginiana subsp. virginiana",5477440.37486864,"Least Concern (LC)",31300,30500,"Least Concern (LC)"
"170",1,"Fragaria virginiana",15760303.2867909,"Least Concern (LC)",156600,151700,"Least Concern (LC)"
"171",1,"Fragaria x ananassa nothosubsp. cuneifolia",465723.523475375,"Least Concern (LC)",2200,2000,"Possible Near Threatened (NT)"
"172",1,"Fragaria x ananassa",11121995.0242463,"Least Concern (LC)",124700,121400,"Least Concern (LC)"
"173",1,"Gossypium thurberi",149366.160658422,"Least Concern (LC)",14300,13300,"Least Concern (LC)"
"174",1,"Gossypium tomentosum",1486.69821078596,"Endangered (EN)",600,400,"Vulnerable (VU)"
"175",1,"Helianthus agrestis",111662.072328383,"Least Concern (LC)",2300,2200,"Possible Near Threatened (NT)"
"176",1,"Helianthus angustifolius",2029859.81253364,"Least Concern (LC)",48000,46600,"Least Concern (LC)"
"177",1,"Helianthus annuus",11022279.8779673,"Least Concern (LC)",212200,209900,"Least Concern (LC)"
"178",1,"Helianthus anomalus",203796.652100687,"Least Concern (LC)",6900,6200,"Least Concern (LC)"
